name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj
AC0013:SIX:Homeodomain	1.96757743742336	0.115462681943711	2.35041313898058	0.00882914210767224	0.0445721568507809
AC0018:ZBTB:C2H2_ZF	2.76891497083809	0.163230811960041	2.9848698180978	4.03700287634759e-05	0.000485202043817626
AC0023:ZNF:C2H2_ZF	2.61789845887003	0.183501895354059	3.03104671652414	0.00012990600875594	0.00140254453521244
AC0024:ZNF:C2H2_ZF	3.77110477935385	1.24824878671165	4.42908794407608	2.90074439303196e-09	1.15485886147585e-07
AC0025:ZNF:C2H2_ZF	3.88795891383278	0.676935730468596	4.500344108246	7.80120021880789e-10	4.14113711615052e-08
AC0031:POU3F/POU2F:Homeodomain,POU	2.00400542747018	0.386656688143943	2.49710538733608	0.00722014898715936	0.0386490328136178
AC0047:ZNF:C2H2_ZF	2.14223292935918	0.289708460055412	2.33024262071446	0.00323935125651087	0.020430363865321
AC0057:ZBTB/ZNF:C2H2_ZF	1.96637563622385	0.380787794389769	2.28230621807321	0.00888730253563254	0.0445721568507809
AC0059:YY/ZFP:C2H2_ZF	2.40273349040567	0.166176976174669	2.8833846541545	0.000607498205050379	0.00522941022455529
AC0070:MYB/MYBL:Myb/SANT	3.01242333213457	0.393502520974606	3.48471385484735	5.28367786968833e-06	7.31674522389449e-05
AC0073:MYBL:Myb/SANT	2.40456362983353	0.116754583942806	2.76269657111473	0.000599945047028134	0.00522941022455529
AC0074:MYBL:Myb/SANT	2.75980874670204	0.0750224889411477	2.97517906998987	4.3404697006298e-05	0.000512014666537256
AC0075:OVOL:C2H2_ZF	2.12039051573162	0.179546277633202	2.4182154976638	0.00369149490542902	0.0223950690929361
AC0084:HIC:C2H2_ZF	2.06125707173659	0.261007786757491	2.21157362491102	0.00521853662872168	0.0304973195641808
AC0090:ZNF:C2H2_ZF	2.26555011357508	0.02443652608457	2.68318373909904	0.00150615756156301	0.0102066209225068
AC0092:ZNF:C2H2_ZF	2.29126427534372	0.635379701088623	2.76370927672475	0.00127616368287097	0.00905443895102793
